Title,Price,Rating,Availability,Image_URL
A Light in the Attic,Â51.77,Three,In stock,https://books.toscrape.com/../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,Â53.74,One,In stock,https://books.toscrape.com/../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,Â50.10,One,In stock,https://books.toscrape.com/../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,Â47.82,Four,In stock,https://books.toscrape.com/../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,Â54.23,Five,In stock,https://books.toscrape.com/../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,Â22.65,One,In stock,https://books.toscrape.com/../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,Four,In stock,https://books.toscrape.com/../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,Three,In stock,https://books.toscrape.com/../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,Four,In stock,https://books.toscrape.com/../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,Â52.15,One,In stock,https://books.toscrape.com/../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,Two,In stock,https://books.toscrape.com/../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,Â20.66,Four,In stock,https://books.toscrape.com/../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,Â17.46,Five,In stock,https://books.toscrape.com/../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,Five,In stock,https://books.toscrape.com/../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,Â35.02,Five,In stock,https://books.toscrape.com/../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,Three,In stock,https://books.toscrape.com/../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,Â23.88,One,In stock,https://books.toscrape.com/../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,One,In stock,https://books.toscrape.com/../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,Â51.33,Two,In stock,https://books.toscrape.com/../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,Â45.17,Two,In stock,https://books.toscrape.com/../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
In Her Wake,Â12.84,One,In stock,https://books.toscrape.com/../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg
How Music Works,Â37.32,Two,In stock,https://books.toscrape.com/../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â30.52,Three,In stock,https://books.toscrape.com/../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg
Chase Me (Paris Nights #2),Â25.27,Five,In stock,https://books.toscrape.com/../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg
Black Dust,Â34.53,Five,In stock,https://books.toscrape.com/../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg
Birdsong: A Story in Pictures,Â54.64,Three,In stock,https://books.toscrape.com/../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â22.50,Three,In stock,https://books.toscrape.com/../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg
Aladdin and His Wonderful Lamp,Â53.13,Three,In stock,https://books.toscrape.com/../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â40.30,Five,In stock,https://books.toscrape.com/../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
Wall and Piece,Â44.18,Four,In stock,https://books.toscrape.com/../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg
The Four Agreements: A Practical Guide to Personal Freedom,Â17.66,Five,In stock,https://books.toscrape.com/../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â31.05,Three,In stock,https://books.toscrape.com/../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
The Elephant Tree,Â23.82,Five,In stock,https://books.toscrape.com/../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
The Bear and the Piano,Â36.89,One,In stock,https://books.toscrape.com/../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
Sophie's World,Â15.94,Five,In stock,https://books.toscrape.com/../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
Penny Maybe,Â33.29,Three,In stock,https://books.toscrape.com/../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
Maude (1883-1993):She Grew Up with the country,Â18.02,Two,In stock,https://books.toscrape.com/../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg
"In a Dark, Dark Wood",Â19.63,One,In stock,https://books.toscrape.com/../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
Behind Closed Doors,Â52.22,Four,In stock,https://books.toscrape.com/../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
You can't bury them all: Poems,Â33.63,Two,In stock,https://books.toscrape.com/../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg
Slow States of Collapse: Poems,Â57.31,Three,In stock,https://books.toscrape.com/../media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
Reasons to Stay Alive,Â26.41,Two,In stock,https://books.toscrape.com/../media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
Private Paris (Private #10),Â47.61,Five,In stock,https://books.toscrape.com/../media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â23.11,Five,In stock,https://books.toscrape.com/../media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
Without Borders (Wanderlove #1),Â45.07,Two,In stock,https://books.toscrape.com/../media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg
When We Collided,Â31.77,One,In stock,https://books.toscrape.com/../media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
"We Love You, Charlie Freeman",Â50.27,Five,In stock,https://books.toscrape.com/../media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
Untitled Collection: Sabbath Poems 2014,Â14.27,Four,In stock,https://books.toscrape.com/../media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â44.18,Four,In stock,https://books.toscrape.com/../media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
Unicorn Tracks,Â18.78,Three,In stock,https://books.toscrape.com/../media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â25.52,One,In stock,https://books.toscrape.com/../media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â16.28,One,In stock,https://books.toscrape.com/../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â31.12,Three,In stock,https://books.toscrape.com/../media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
This One Summer,Â19.49,Four,In stock,https://books.toscrape.com/../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
Thirst,Â17.27,Five,In stock,https://books.toscrape.com/../media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
The Torch Is Passed: A Harding Family Story,Â19.09,One,In stock,https://books.toscrape.com/../media/cache/33/e5/33e507172541628acfd421503196b578.jpg
The Secret of Dreadwillow Carse,Â56.13,One,In stock,https://books.toscrape.com/../media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â56.41,One,In stock,https://books.toscrape.com/../media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
The Past Never Ends,Â56.50,Four,In stock,https://books.toscrape.com/../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
The Natural History of Us (The Fine Art of Pretending #2),Â45.22,Three,In stock,https://books.toscrape.com/../media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
The Nameless City (The Nameless City #1),Â38.16,Four,In stock,https://books.toscrape.com/../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
The Murder That Never Was (Forensic Instincts #5),Â54.11,Three,In stock,https://books.toscrape.com/../media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â42.96,Four,In stock,https://books.toscrape.com/../media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â23.89,Four,In stock,https://books.toscrape.com/../media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â16.77,Three,In stock,https://books.toscrape.com/../media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â20.59,Five,In stock,https://books.toscrape.com/../media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â37.13,One,In stock,https://books.toscrape.com/../media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â56.06,One,In stock,https://books.toscrape.com/../media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
The Death of Humanity: and the Case for Life,Â58.11,Four,In stock,https://books.toscrape.com/../media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â49.05,Three,In stock,https://books.toscrape.com/../media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
The Art Forger,Â40.76,Three,In stock,https://books.toscrape.com/../media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â19.73,One,In stock,https://books.toscrape.com/../media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â32.24,Five,In stock,https://books.toscrape.com/../media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â41.83,Four,In stock,https://books.toscrape.com/../media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
Soul Reader,Â39.58,Two,In stock,https://books.toscrape.com/../media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
Security,Â39.25,Two,In stock,https://books.toscrape.com/../media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â25.02,Three,In stock,https://books.toscrape.com/../media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â51.04,Two,In stock,https://books.toscrape.com/../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
